SUBSTATION,LAT,LNG,formatted_address,SUBSTATIONnum
LIIP,14.2874308,121.0844267,"73PM+XQF, Biñan, Laguna, Philippines",Substation 52
LISP,14.2303024,121.0928694,"63JV+44H, South St, Cabuyao, Laguna, Philippines",Substation 53
LOS,14.17597711,121.2614492,Philippines,Substation 54
LUCENA,13.9614199,121.5956373,"4301, Lucena, 4301 Quezon, Philippines",Substation 55
MAKATI,14.566306,121.016308,"H288+GGF, Pablo Ocampo Extn, Santa Cruz, Makati, 1205 Metro Manila, Philippines",Substation 56
MALABON,14.6653336,120.9669473,"111 Marcelo H. Del Pilar St, Malabon, 1474 Metro Manila, Philippines",Substation 57
MALATE,14.5657852,120.9943536,"Dagonoy St, Malate, Manila, 1004 Metro Manila, Philippines",Substation 58
MALAYA,14.3958404,121.3365383,"98WP+8JM, Pililla, Rizal, Philippines",Substation 59
MALIBAY,14.5374971,121.0215054,"G2PC+XJR, Lumbang, Makati, Metro Manila, Philippines",Substation 60
MALINTA,14.6928836,120.9655933,"326 MacArthur Hwy, Valenzuela, 1440 Metro Manila, Philippines",Substation 61
MALOLOS,14.8718287,120.8227018,"VRCF+P3P, Mabini, Malolos, 3000 Bulacan, Philippines",Substation 62
MANDALUYONG,14.5907771,121.0338013,"285 Shaw Blvd, cor M. Yulo, St, Mandaluyong, 1552 Metro Manila, Philippines",Substation 63
MANGGAHAN,14.5986049,121.0878195,"H3XQ+C4W, Pasig, Metro Manila, Philippines",Substation 64
MARIKINA,14.634324,121.0747295,"J3MF+PVH, Katipunan Ave, Marikina, Metro Manila, Philippines",Substation 65
MARILAO,14.7747243,120.9694156,"QXF9+VQM, M. Villarica Rd, Marilao, 3015 Bulacan, Philippines",Substation 66
MASINAG,14.622709,121.1264,"J4FG+3HJ, Sumulong Hwy, Antipolo, Metro Manila, Philippines",Substation 67
MECO,14.59058583,121.0652696,Philippines,Substation 68
METPARK,14.5514161,120.9897107,"HX2Q+HV8, Roxas Blvd, Pasay, Metro Manila, Philippines",Substation 69
MEYCAUAYAN,14.76326,120.987512,"QX7Q+822, National Road, Meycauayan, 3020 Bulacan, Philippines",Substation 70
MEYCAUYAN,14.76326,120.987512,"QX7Q+822, National Road, Meycauayan, 3020 Bulacan, Philippines",Substation 71
NAIA,14.52558395,121.0110444,Philippines,Substation 72
NDD,14.71313602,120.9802261,Philippines,Substation 73
NEW,14.226032,121.755922,"6QG4+C97, Mauban, Quezon, Philippines",Substation 74
NGCP,14.0255499,121.5999285,Philippines,Substation 75
NORTH,14.62334158,120.9756587,Philippines,Substation 76
NOVALICHES,14.7309253,121.0444393,"Quirino Hwy, Novaliches, Quezon City, Metro Manila, Philippines",Substation 77
NPC,14.31137443,120.9499555,Philippines,Substation 78
PACO,14.5805687,120.9984254,"682, Paco, Maynila, Kalakhang Maynila, Philippines",Substation 79
PAGCOR,14.51979781,120.9850609,Philippines,Substation 80
PAMPLONA,14.4465105,120.9838679,"Talon Uno, Las Piñas, 1747 Metro Manila, Philippines",Substation 81
PANDACAN,14.596324,121.0153581,"H2W8+G4H, Lubiran, Santa Mesa, Maynila, Kalakhang Maynila, Philippines",Substation 82
PARANG,14.657716,121.126117,"M45G+3CQ, East Dr, Marikina, 1810 Metro Manila, Philippines",Substation 83
PARAÑAQUE,14.5134246,120.995167,"Bay Side Court, 680-D Quirino Ave, Tambo, Parañaque, Kalakhang Maynila, Philippines",Substation 84
PUERTO,14.26303775,120.6827491,Philippines,Substation 85
PULILAN,14.8937042,120.8738321,"112 Plaridel-Pulilan Diversion Rd, Pulilan, 3005 Bulacan, Philippines",Substation 86
QUEZON,13.9346903,121.947311,"Quezon, Philippines",Substation 87
ROCKWELL,14.5657943,121.0373279,"2 Amorsolo Dr, Makati, 1209 Metro Manila, Philippines",Substation 88
ROSARIO,14.4023918,120.86122,"CV26+XF5, Drive, General Trias, Cavite, Philippines",Substation 89
SAMPALOC,14.6126042,120.9902708,"JX7R+24R, Sampaloc, Manila, 1008 Metro Manila, Philippines",Substation 90
SAN,13.7803706,121.0523307,"Q3J2+4WW, Diversion Road, Batangas, 4200 Batangas, Philippines",Substation 91
SANTOLAN,14.6176898,121.0862764,"J39P+3GC, F. Pasco Ave, Pasig, 1610 Metro Manila, Philippines",Substation 92
SAOG,14.759515,120.950719,"QX52+R75, MacArthur Hwy, Marilao, 3019 Metro Manila, Philippines",Substation 93
SAPANG,14.86235484,121.0938014,Philippines,Substation 94
SHANGRILA,14.58247248,121.0564934,Philippines,Substation 95
SILANG,14.2361677,120.9734669,"6XPF+F98, Emilio Aguinaldo Hwy, Silang, Cavite, Philippines",Substation 96
SOUTHWOODS,14.3365798,121.0518265,"83P2+JPP, Pan-Philippine Hwy, San Pedro, Laguna, Philippines",Substation 97
STA,14.61337074,121.0123203,Philippines,Substation 98
SUN,14.49288015,121.0398263,Philippines,Substation 99
TABANG,14.8407561,120.8498738,"RRRX+8W5, Malolos, Bulacan, Philippines",Substation 100
TAGAYTAY,14.1386434,120.9556978,"Daang Radyal Blg. 2, Amadeo, Cavite, Philippines",Substation 101
TAGUIG,14.5459781,121.0880469,"30 Elizco Rd, Pasig, Metro Manila, Philippines",Substation 102
TANZA,14.3783377,120.8334464,"9RHM+89P, Antero Soriano Hwy, Tanza, Cavite, Philippines",Substation 103
TAYABAS,14.0255057,121.5997032,"2HGX+6V4, Tayabas - Pagbilao Rd, Tayabas, 4327 Quezon, Philippines",Substation 104
TEGEN,14.5881738,120.9893184,"1000, 1007 D Correa, Paco, Maynila, 1000 Kalakhang Maynila, Philippines",Substation 105
TERESA,14.568284,121.2008061,"H692+887, Padilla, Antipolo, Rizal, Philippines",Substation 106
TERNATE,14.2714485,120.6775054,"Ternate, Cavite, Philippines",Substation 107
TRECE,14.2807874,120.8717277,"BHI Building, Governor's Dr, Trece Martires, 4109 Cavite, Philippines",Substation 108
TUTUBAN,14.6103454,120.973806,"Tutuban Shopping Complex, Mayhaligue St, cor Antonio Rivera St, Tondo, Manila, 1012 Metro Manila, Philippines",Substation 109
URDANETA,14.5514163,121.0300053,"235 Recoletos, Makati, 1225 Kalakhang Maynila, Philippines",Substation 110
VALENCIA,14.61144372,121.0354679,Philippines,Substation 111
